marche,region,produit,mois,prix_fcfa_kg
Fada,Ennedi Ouest,Sorgho,2025-04-01,321.6
Fada,Ennedi Ouest,Sorgho,2025-05-01,377.9
Fada,Ennedi Ouest,Sorgho,2025-06-01,390.9
Fada,Ennedi Ouest,Sorgho,2025-07-01,402.0
Fada,Ennedi Ouest,Sorgho,2025-08-01,365.4
Fada,Ennedi Ouest,Sorgho,2025-09-01,344.7
Fada,Ennedi Ouest,Sorgho,2025-10-01,378.4
Fada,Ennedi Ouest,Sorgho,2025-11-01,374.1
Fada,Ennedi Ouest,Sorgho,2025-12-01,379.7
Fada,Ennedi Ouest,Sorgho,2026-01-01,448.6
Fada,Ennedi Ouest,Sorgho,2026-02-01,450.9
Fada,Ennedi Ouest,Sorgho,2026-03-01,475.2
Fada,Ennedi Ouest,Sorgho,2026-04-01,454.4
Fada,Ennedi Ouest,Sorgho,2026-05-01,445.4
Fada,Ennedi Ouest,Sorgho,2026-06-01,438.8
Fada,Ennedi Ouest,Sorgho,2026-07-01,424.0
Fada,Ennedi Ouest,Mais,2024-08-01,216.4
Fada,Ennedi Ouest,Mais,2024-09-01,220.1
Fada,Ennedi Ouest,Mais,2024-10-01,238.2
Fada,Ennedi Ouest,Mais,2024-11-01,237.4
Fada,Ennedi Ouest,Mais,2024-12-01,261.6
Fada,Ennedi Ouest,Mais,2025-01-01,284.7
Fada,Ennedi Ouest,Mais,2025-02-01,289.3
Fada,Ennedi Ouest,Mais,2025-03-01,315.3
Fada,Ennedi Ouest,Mais,2025-04-01,279.5
Fada,Ennedi Ouest,Mais,2025-05-01,335.0
Fada,Ennedi Ouest,Mais,2025-06-01,385.1
Fada,Ennedi Ouest,Mais,2025-07-01,380.3
Fada,Ennedi Ouest,Mais,2025-08-01,344.3
Fada,Ennedi Ouest,Mais,2025-09-01,322.0
Fada,Ennedi Ouest,Mais,2025-10-01,329.9
Fada,Ennedi Ouest,Mais,2025-11-01,362.8
Fada,Ennedi Ouest,Mais,2025-12-01,366.6
Fada,Ennedi Ouest,Mais,2026-01-01,393.6
Fada,Ennedi Ouest,Mais,2026-02-01,426.9
Fada,Ennedi Ouest,Mais,2026-03-01,423.4
Fada,Ennedi Ouest,Mais,2026-04-01,395.7
Fada,Ennedi Ouest,Mais,2026-05-01,419.7
Fada,Ennedi Ouest,Mais,2026-06-01,380.0
Fada,Ennedi Ouest,Mais,2026-07-01,390.7
Fada,Ennedi Ouest,Riz_importe,2024-08-01,397.4
Fada,Ennedi Ouest,Riz_importe,2024-09-01,397.3
Fada,Ennedi Ouest,Riz_importe,2024-10-01,385.1
Fada,Ennedi Ouest,Riz_importe,2024-11-01,410.1
Fada,Ennedi Ouest,Riz_importe,2024-12-01,478.9
Fada,Ennedi Ouest,Riz_importe,2025-01-01,529.7
Fada,Ennedi Ouest,Riz_importe,2025-02-01,507.3
Fada,Ennedi Ouest,Riz_importe,2025-03-01,500.8
Fada,Ennedi Ouest,Riz_importe,2025-04-01,514.2
Fada,Ennedi Ouest,Riz_importe,2025-05-01,624.4
Fada,Ennedi Ouest,Riz_importe,2025-06-01,636.7
Fada,Ennedi Ouest,Riz_importe,2025-07-01,555.5
Fada,Ennedi Ouest,Riz_importe,2025-08-01,633.9
Fada,Ennedi Ouest,Riz_importe,2025-09-01,577.9
Fada,Ennedi Ouest,Riz_importe,2025-10-01,565.1
