hhid,rang,age,sexe,niveau_educ
00013,5,68.0,1,Secondaire
00013,6,54.0,1,Aucun
00013,7,16.0,1,Aucun
00013,8,29.0,1,Aucun
00014,1,47.0,1,Aucun
00014,2,54.0,2,Aucun
00014,3,27.0,2,Aucun
00014,4,1.0,2,Aucun
00015,1,48.0,1,Aucun
00015,2,13.0,2,Primaire
00015,3,69.0,2,Superieur
00015,4,50.0,1,Primaire
00015,5,74.0,2,Aucun
00016,1,38.0,1,Secondaire
00016,2,19.0,1,Primaire
00016,3,0.0,2,Aucun
00016,4,21.0,2,Primaire
00016,5,13.0,1,Secondaire
00016,6,,2,
00017,1,22.0,1,Aucun
00017,2,45.0,1,Aucun
00017,3,19.0,1,Aucun
00017,4,1.0,1,Aucun
00017,5,46.0,2,Aucun
00018,1,29.0,1,Secondaire
00018,2,50.0,2,Aucun
00018,3,22.0,1,Primaire
00018,4,52.0,1,Primaire
00018,5,4.0,1,Aucun
00018,6,3.0,1,Aucun
00018,7,30.0,1,Aucun
00019,1,32.0,2,Aucun
00019,2,6.0,1,Secondaire
00019,3,50.0,2,Primaire
00019,4,49.0,1,Primaire
00019,5,42.0,1,Aucun
00019,6,,2,Aucun
00019,7,4.0,1,Aucun
00019,8,9.0,1,Aucun
00020,1,59.0,1,
00020,2,17.0,2,Secondaire
00020,3,35.0,2,Aucun
00020,4,,2,Primaire
00020,5,33.0,1,Primaire
00021,1,37.0,1,Aucun
00021,2,38.0,1,Secondaire
00021,3,72.0,1,Secondaire
00021,4,1.0,2,Aucun
00021,5,14.0,2,
00021,6,70.0,1,Primaire
00021,7,5.0,2,Aucun
00021,8,41.0,2,Aucun
00021,9,64.0,2,Primaire
00022,1,37.0,1,Aucun
00022,2,50.0,1,Primaire
00022,3,48.0,2,Superieur
00022,4,33.0,1,Primaire
00023,1,46.0,1,Secondaire
00023,2,49.0,2,
00023,3,22.0,1,Secondaire
00023,4,62.0,1,Secondaire
00023,5,45.0,2,Aucun
00023,6,52.0,2,
00023,7,27.0,2,Primaire
00023,8,10.0,2,Primaire
00024,1,26.0,1,Aucun
00024,2,36.0,1,Aucun
00024,3,27.0,1,Secondaire
00024,4,73.0,1,Aucun
00024,5,5.0,1,Aucun
00024,6,33.0,2,Primaire
00024,7,39.0,1,Primaire
00024,8,8.0,1,Primaire
00025,1,52.0,1,Aucun
00025,2,43.0,2,
00025,3,55.0,1,Aucun
00025,4,47.0,1,Secondaire
00026,1,24.0,1,Aucun
00026,2,73.0,2,Aucun
00026,3,33.0,1,Secondaire
00026,4,35.0,2,Secondaire
00026,5,19.0,2,Aucun
00026,6,13.0,1,Primaire
00026,7,55.0,1,Aucun
00026,8,46.0,1,Primaire
00027,1,37.0,1,Aucun
00027,2,25.0,2,Primaire
00027,3,46.0,2,Primaire
00027,4,19.0,1,Primaire
00027,5,14.0,2,Primaire
00027,6,22.0,1,Primaire
00027,7,48.0,2,Secondaire
00027,8,0.0,1,Aucun
00027,9,38.0,1,Aucun
00028,1,44.0,1,Aucun
00028,2,17.0,2,Aucun
00028,3,41.0,2,Primaire
00028,4,61.0,2,Aucun
00028,5,58.0,1,Secondaire
00028,6,65.0,1,Aucun
00028,7,22.0,2,Primaire
00028,8,39.0,2,Aucun
00028,9,40.0,1,Primaire
00028,10,,1,Primaire
00028,11,20.0,1,Aucun
00028,12,70.0,2,Primaire
00028,13,60.0,1,Aucun
00028,14,29.0,2,Aucun
00028,15,0.0,2,Aucun
00028,16,12.0,2,Aucun
00028,17,19.0,1,Secondaire
00028,18,47.0,2,Aucun
00029,1,47.0,1,Aucun
00029,2,2.0,2,Aucun
00029,3,39.0,1,Primaire
00029,4,63.0,1,Aucun
00029,5,6.0,2,Aucun
00029,6,50.0,1,Secondaire
00029,7,42.0,1,Secondaire
00029,8,63.0,2,Aucun
00030,1,30.0,1,Aucun
00030,2,7.0,2,Primaire
00030,3,64.0,2,Secondaire
00031,1,61.0,2,Aucun
00031,2,35.0,2,Aucun
00031,3,65.0,2,Primaire
00032,1,52.0,1,Aucun
00032,2,1.0,2,Aucun
00032,3,40.0,1,Secondaire
00032,4,67.0,1,Secondaire
00032,5,35.0,1,
00032,6,72.0,1,Primaire
00032,7,49.0,2,Aucun
00032,8,56.0,2,Aucun
00033,1,55.0,1,
00033,2,10.0,2,Secondaire
00033,3,55.0,1,Aucun
00033,4,18.0,2,Secondaire
00033,5,61.0,2,Secondaire
00033,6,67.0,1,Primaire
00034,1,20.0,1,Aucun
00034,2,31.0,1,Secondaire
00034,3,51.0,1,Primaire
00034,4,62.0,1,Primaire
00034,5,16.0,1,Secondaire
00034,6,70.0,1,Aucun
00034,7,57.0,1,Primaire
00034,8,33.0,1,Primaire
00035,1,28.0,1,Aucun
00035,2,54.0,2,Aucun
00035,3,54.0,1,Secondaire
00035,4,22.0,1,Aucun
00035,5,19.0,2,Primaire
00035,6,13.0,2,Primaire
00036,1,53.0,1,Primaire
00036,2,14.0,1,
00036,3,19.0,2,Primaire
00036,4,36.0,2,Primaire
00036,5,51.0,1,Aucun
00036,6,21.0,1,Aucun
00036,7,35.0,1,Aucun
00037,1,61.0,1,Aucun
00037,2,41.0,2,Aucun
00037,3,29.0,1,Secondaire
00037,4,41.0,1,Aucun
00037,5,16.0,1,
00037,6,56.0,1,Superieur
00037,7,47.0,1,Primaire
00037,8,70.0,2,Primaire
00038,1,50.0,2,Primaire
00038,2,6.0,1,Secondaire
00038,3,19.0,2,Secondaire
00038,4,37.0,2,Primaire
00038,5,35.0,2,Primaire
00038,6,40.0,2,Primaire
00038,7,17.0,2,Secondaire
00039,1,41.0,2,Primaire
00039,2,74.0,1,
00039,3,41.0,1,Aucun
00039,4,40.0,2,Superieur
00039,5,41.0,1,Aucun
00039,6,1.0,2,Aucun
00039,7,66.0,1,Primaire
00040,1,36.0,1,Aucun
00040,2,10.0,2,Primaire
00040,3,25.0,1,Secondaire
00040,4,43.0,1,Aucun
00040,5,15.0,1,Primaire
00040,6,74.0,1,Primaire
00040,7,71.0,1,Primaire
00040,8,10.0,1,Aucun
00041,1,38.0,1,Aucun
00041,2,14.0,1,Secondaire
00041,3,12.0,1,Primaire
00041,4,60.0,2,Secondaire
00041,5,22.0,2,Aucun
00041,6,4.0,2,Aucun
00041,7,40.0,1,Aucun
00042,1,40.0,1,Primaire
00043,1,45.0,1,Aucun
00043,2,7.0,2,Primaire
00043,3,44.0,2,Aucun
00043,4,52.0,1,Aucun
00043,5,47.0,1,
00043,6,62.0,1,Secondaire
00043,7,52.0,2,Primaire
00043,8,18.0,2,Primaire
00043,9,63.0,1,Aucun
00044,1,30.0,1,Primaire
00044,2,14.0,2,Aucun
00044,3,9.0,1,Secondaire
00044,4,73.0,2,Primaire
00044,5,47.0,2,Secondaire
00044,6,13.0,2,Aucun
00045,1,34.0,1,Primaire
00045,2,24.0,2,Primaire
00045,3,2.0,1,Aucun
00045,4,38.0,1,Primaire
00045,5,5.0,2,Aucun
00046,1,45.0,1,Primaire
00046,2,42.0,2,Secondaire
00046,3,39.0,2,Aucun
00046,4,1.0,1,Aucun
00046,5,63.0,2,Aucun
00047,1,45.0,2,Primaire
00047,2,4.0,1,Aucun
00047,3,21.0,1,Primaire
00047,4,69.0,2,Primaire
00047,5,2.0,2,Aucun
00047,6,25.0,1,Primaire
00048,1,44.0,1,Primaire
00048,2,64.0,2,Aucun
00048,3,26.0,2,Aucun
00048,4,34.0,1,Secondaire
00049,1,,2,Primaire
00049,2,31.0,2,Primaire
00049,3,65.0,1,Primaire
00049,4,67.0,2,Aucun
00050,1,29.0,1,Aucun
00050,2,1.0,1,Aucun
00050,3,36.0,1,Primaire
00050,4,54.0,2,Aucun
00050,5,11.0,2,Primaire
00050,6,1.0,2,Aucun
00050,7,39.0,1,Aucun
00050,8,53.0,2,Primaire
00050,9,37.0,2,Secondaire
00051,1,43.0,1,Aucun
00051,2,57.0,1,Primaire
00051,3,63.0,1,Secondaire
00051,4,6.0,2,Secondaire
00051,5,50.0,2,Aucun
00051,6,15.0,2,Aucun
00051,7,5.0,1,Aucun
00051,8,5.0,1,Aucun
00052,1,39.0,1,Primaire
00052,2,57.0,2,Primaire
00052,3,0.0,2,Aucun
00053,1,39.0,1,Primaire
00053,2,64.0,1,Secondaire
00053,3,2.0,2,Aucun
00053,4,56.0,1,Secondaire
00053,5,3.0,1,Aucun
00053,6,41.0,2,Primaire
00053,7,,1,Secondaire
00053,8,2.0,1,Aucun
00053,9,69.0,2,
00054,1,39.0,1,Secondaire
00054,2,21.0,2,Aucun
00054,3,31.0,1,Primaire
00054,4,34.0,2,Secondaire
00054,5,31.0,1,Primaire
00054,6,51.0,1,Primaire
00054,7,49.0,2,Aucun
00055,1,37.0,1,Aucun
00055,2,5.0,2,Aucun
00055,3,67.0,2,Aucun
00055,4,64.0,2,Primaire
00055,5,20.0,1,Primaire
00055,6,14.0,1,Aucun
00056,1,32.0,1,Aucun
00056,2,54.0,1,Aucun
00056,3,16.0,2,Primaire
00056,4,3.0,2,Aucun
00056,5,61.0,2,Secondaire
00056,6,3.0,1,
00057,1,55.0,1,Aucun
00057,2,37.0,2,Primaire
00057,3,0.0,2,Aucun
00058,1,33.0,2,Primaire
00058,2,46.0,2,Superieur
00058,3,62.0,1,Aucun
00058,4,17.0,2,Aucun
00058,5,12.0,1,Aucun
00058,6,25.0,1,Aucun
00058,7,23.0,1,Aucun
00059,1,30.0,1,Aucun
00059,2,0.0,1,Aucun
00059,3,64.0,2,Aucun
00060,1,58.0,2,Aucun
00060,2,,2,Aucun
00060,3,,1,Primaire
00060,4,57.0,1,Primaire
00060,5,7.0,1,Primaire
00060,6,64.0,2,Secondaire
00060,7,13.0,2,Superieur
00061,1,34.0,2,Primaire
00061,2,63.0,2,Primaire
00061,3,51.0,1,Secondaire
00061,4,60.0,2,Aucun
00061,5,58.0,1,Aucun
00061,6,51.0,1,Primaire
00061,7,14.0,2,Aucun
00061,8,50.0,2,Secondaire
00061,9,49.0,1,Primaire
00062,1,72.0,1,Primaire
00062,2,2.0,2,Aucun
00062,3,24.0,2,Aucun
00062,4,33.0,1,Secondaire
00062,5,67.0,1,Secondaire
00062,6,54.0,2,Aucun
00063,1,33.0,1,Aucun
00063,2,16.0,1,Aucun
00063,3,3.0,1,Aucun
00063,4,1.0,1,Aucun
00063,5,45.0,1,Primaire
00063,6,3.0,1,Aucun
00063,7,13.0,2,Superieur
00063,8,66.0,1,Secondaire
00064,1,53.0,1,Primaire
00064,2,50.0,1,Primaire
00064,3,9.0,2,
00064,4,65.0,1,Secondaire
00064,5,69.0,2,Aucun
00064,6,68.0,1,Primaire
00064,7,41.0,2,Aucun
00065,1,48.0,1,Aucun
00065,2,69.0,2,Aucun
00065,3,3.0,1,Aucun
00065,4,48.0,1,Secondaire
00066,1,39.0,1,Aucun
00066,2,70.0,1,Primaire
00066,3,52.0,1,Aucun
00066,4,21.0,2,Aucun
00066,5,54.0,2,Secondaire
00066,6,51.0,2,Secondaire
00066,7,71.0,1,Aucun
00067,1,55.0,1,Aucun
00067,2,71.0,1,Secondaire
00067,3,7.0,2,Secondaire
00067,4,40.0,1,Secondaire
00067,5,72.0,2,Secondaire
00067,6,39.0,2,Aucun
00068,1,,1,Primaire
00068,2,13.0,1,Aucun
00068,3,37.0,1,Primaire
00068,4,53.0,2,Secondaire
00068,5,8.0,2,Primaire
00068,6,40.0,1,Secondaire
00068,7,48.0,1,Primaire
00068,8,,1,Aucun
00068,9,13.0,2,Primaire
00068,10,20.0,1,
00069,1,48.0,1,Aucun
00069,2,31.0,2,Primaire
00069,3,53.0,2,Aucun
00069,4,25.0,1,Aucun
00069,5,65.0,1,Primaire
00069,6,63.0,2,Aucun
00069,7,74.0,2,Primaire
00070,1,41.0,1,Secondaire
00070,2,51.0,1,Aucun
00070,3,36.0,2,Primaire
00070,4,49.0,2,Primaire
00070,5,26.0,1,Aucun
00070,6,1.0,2,Aucun
00071,1,35.0,1,Primaire
00071,2,65.0,1,Aucun
00071,3,37.0,2,Aucun
00071,4,19.0,1,Secondaire
00071,5,5.0,1,Aucun
00071,6,66.0,1,Secondaire
00071,7,11.0,1,Secondaire
00072,1,60.0,1,Superieur
00072,2,44.0,2,Primaire
00072,3,46.0,2,Secondaire
00072,4,56.0,1,Primaire
00072,5,74.0,2,Aucun
00072,6,11.0,1,Primaire
00073,1,44.0,1,Aucun
00073,2,59.0,2,Primaire
00073,3,36.0,2,Aucun
00073,4,61.0,2,Primaire
00073,5,14.0,2,Aucun
00073,6,14.0,1,Primaire
00073,7,18.0,1,
00073,8,17.0,1,Primaire
00073,9,,2,Primaire
00073,10,45.0,1,Primaire
00074,1,59.0,1,Aucun
00074,2,55.0,1,Primaire
00074,3,72.0,1,
00074,4,5.0,2,Aucun
00074,5,20.0,1,Aucun
00074,6,10.0,1,Aucun
00075,1,27.0,2,Aucun
00075,2,72.0,2,Secondaire
00075,3,4.0,2,Aucun
00075,4,15.0,2,Aucun
00076,1,29.0,1,Primaire
00076,2,3.0,1,Aucun
00076,3,39.0,2,Primaire
00076,4,45.0,1,Aucun
00076,5,34.0,1,Superieur
00076,6,28.0,1,Primaire
00076,7,56.0,1,Secondaire
00076,8,5.0,2,Aucun
00076,9,36.0,2,
00077,1,36.0,2,
00077,2,57.0,2,Secondaire
00077,3,58.0,1,Aucun
00078,1,59.0,1,Aucun
00078,2,49.0,1,
00078,3,29.0,1,Primaire
00078,4,26.0,1,Secondaire
00078,5,5.0,2,Aucun
00078,6,22.0,1,Aucun
00079,1,49.0,1,Aucun
00079,2,42.0,2,Aucun
00079,3,0.0,1,Aucun
00079,4,3.0,2,Aucun
00080,1,52.0,1,Aucun
00080,2,61.0,2,Aucun
00080,3,26.0,2,Primaire
00080,4,48.0,1,Aucun
00081,1,47.0,1,Aucun
00081,2,10.0,1,Aucun
00081,3,25.0,1,Secondaire
00081,4,12.0,2,Primaire
00081,5,50.0,2,
00082,1,54.0,1,Aucun
00082,2,60.0,1,Secondaire
00082,3,31.0,1,Secondaire
00082,4,6.0,1,Secondaire
00082,5,67.0,1,Superieur
00082,6,4.0,1,Aucun
00083,1,35.0,1,Aucun
00083,2,36.0,2,Aucun
00083,3,19.0,1,Primaire
00083,4,56.0,2,Primaire
00083,5,9.0,1,Aucun
00084,1,42.0,1,Secondaire
00084,2,36.0,2,Primaire
00084,3,71.0,1,Aucun
00084,4,39.0,1,Secondaire
00084,5,58.0,1,
00084,6,35.0,2,Aucun
00085,1,25.0,1,Aucun
00085,2,37.0,2,Secondaire
00085,3,46.0,2,Aucun
00086,1,60.0,1,Aucun
00086,2,30.0,1,Aucun
00086,3,34.0,1,Aucun
00086,4,2.0,2,Aucun
00086,5,45.0,1,
00086,6,38.0,1,Primaire
00087,1,63.0,2,Primaire
00087,2,21.0,1,Secondaire
00087,3,54.0,2,Primaire
00087,4,61.0,2,Aucun
00087,5,61.0,1,Aucun
00087,6,42.0,2,Aucun
00087,7,15.0,1,Aucun
00087,8,72.0,1,Aucun
00087,9,67.0,1,Aucun
00087,10,68.0,2,Primaire
00087,11,8.0,1,Primaire
00087,12,39.0,1,Primaire
00087,13,23.0,2,Primaire
00088,1,48.0,1,Aucun
00088,2,47.0,2,Primaire
00088,3,,2,Primaire
00088,4,13.0,1,Primaire
00088,5,40.0,2,Primaire
00088,6,60.0,2,Aucun
00088,7,9.0,2,Aucun
00089,1,55.0,2,Aucun
00089,2,15.0,1,
00089,3,11.0,1,Secondaire
00089,4,21.0,2,Aucun
00089,5,35.0,2,Primaire
00089,6,37.0,2,Aucun
00090,1,37.0,1,Primaire
00090,2,62.0,2,Aucun
00090,3,63.0,1,Aucun
00090,4,57.0,1,Secondaire
00090,5,42.0,1,Primaire
00090,6,7.0,1,Secondaire
00090,7,60.0,1,Primaire
00090,8,32.0,2,Secondaire
00091,1,50.0,2,Aucun
00091,2,43.0,1,
00091,3,46.0,2,Secondaire
00091,4,20.0,2,Aucun
00091,5,8.0,1,Aucun
00091,6,54.0,1,Secondaire
00092,1,28.0,1,Secondaire
00092,2,61.0,2,Primaire
00092,3,64.0,2,Aucun
00092,4,10.0,2,Secondaire
00092,5,19.0,2,Aucun
00092,6,57.0,1,Primaire
00092,7,49.0,1,Primaire
00092,8,56.0,1,Aucun
00093,1,50.0,1,Aucun
00093,2,2.0,1,Aucun
00093,3,20.0,1,Primaire
00093,4,12.0,2,Aucun
00093,5,3.0,1,Aucun
00093,6,5.0,2,Aucun
00093,7,12.0,2,Secondaire
00093,8,2.0,2,Aucun
00093,9,,1,Secondaire
00093,10,44.0,2,Aucun
00094,1,32.0,1,Primaire
00094,2,14.0,1,Secondaire
00094,3,55.0,2,Secondaire
00094,4,57.0,1,Aucun
00094,5,68.0,2,
00094,6,4.0,2,Aucun
00094,7,74.0,2,Secondaire
00094,8,17.0,2,Primaire
00094,9,56.0,2,Aucun
00094,10,23.0,2,Secondaire
00095,1,39.0,1,Primaire
00095,2,63.0,2,Aucun
00096,1,48.0,1,Secondaire
00096,2,1.0,2,Aucun
00096,3,56.0,2,Aucun
00096,4,19.0,1,Aucun
00096,5,31.0,2,Aucun
00096,6,47.0,2,Aucun
00096,7,11.0,1,Aucun
00097,1,41.0,1,Aucun
00097,2,49.0,1,Superieur
00097,3,14.0,2,Aucun
00097,4,72.0,1,Aucun
00097,5,72.0,1,Primaire
00097,6,66.0,2,Aucun
00097,7,23.0,1,Primaire
00097,8,,1,Aucun
00097,9,26.0,2,Aucun
00097,10,32.0,1,Primaire
00097,11,9.0,1,Primaire
00098,1,46.0,2,Secondaire
00098,2,8.0,2,Aucun
00098,3,68.0,1,Aucun
00098,4,52.0,1,Primaire
00098,5,41.0,1,Secondaire
00099,1,38.0,2,Aucun
00099,2,65.0,1,Aucun
00099,3,13.0,1,Aucun
00099,4,61.0,1,Primaire
00099,5,15.0,1,Aucun
00099,6,26.0,1,Secondaire
00099,7,52.0,2,Aucun
00100,1,53.0,1,Aucun
00100,2,60.0,1,Primaire
00100,3,60.0,2,Aucun
00100,4,3.0,2,Aucun
00100,5,47.0,2,Secondaire
00101,1,54.0,2,Primaire
00102,1,52.0,1,Aucun
00102,2,41.0,1,Aucun
00102,3,22.0,1,Aucun
00103,1,36.0,1,Aucun
00103,2,42.0,2,Superieur
00103,3,34.0,2,Aucun
00103,4,72.0,2,Aucun
00103,5,46.0,1,Secondaire
00103,6,26.0,2,Aucun
00103,7,15.0,1,Aucun
00104,1,69.0,1,Secondaire
00104,2,11.0,1,Primaire
00104,3,54.0,2,Secondaire
00105,1,20.0,1,Primaire
00105,2,,2,Primaire
00105,3,18.0,1,Aucun
00105,4,67.0,1,Aucun
00105,5,47.0,1,Aucun
00106,1,20.0,1,Aucun
00106,2,4.0,2,Aucun
00106,3,,2,Primaire
00106,4,2.0,1,Aucun
00106,5,69.0,2,Primaire
00106,6,2.0,1,Aucun
00106,7,27.0,2,Secondaire
00106,8,71.0,1,Primaire
00107,1,36.0,2,Aucun
00107,2,0.0,1,Aucun
00107,3,23.0,1,Aucun
00107,4,64.0,1,Aucun
00107,5,3.0,1,Aucun
00107,6,57.0,2,Primaire
00107,7,68.0,1,Secondaire
00107,8,7.0,2,Superieur
00107,9,24.0,1,Primaire
00107,10,6.0,2,
00107,11,60.0,2,Aucun
00107,12,22.0,1,Primaire
00107,13,3.0,1,Aucun
00107,14,44.0,1,Aucun
00107,15,70.0,1,Aucun
00108,1,43.0,1,Primaire
00108,2,43.0,1,
00108,3,60.0,1,Aucun
00109,1,53.0,2,Superieur
00109,2,5.0,1,Aucun
00109,3,57.0,2,Primaire
00109,4,70.0,1,Aucun
00109,5,72.0,1,Primaire
00109,6,51.0,1,Secondaire
00109,7,5.0,1,Aucun
00109,8,33.0,2,Secondaire
00109,9,71.0,1,Secondaire
00109,10,32.0,1,Aucun
00110,1,24.0,1,Secondaire
00110,2,43.0,1,Secondaire
00110,3,43.0,2,Aucun
00110,4,12.0,1,Primaire
00110,5,65.0,1,Primaire
00110,6,42.0,2,Primaire
00110,7,51.0,1,Aucun
00111,1,54.0,2,Primaire
00111,2,25.0,2,Secondaire
00111,3,63.0,2,Secondaire
00111,4,50.0,2,Aucun
00111,5,67.0,2,Aucun
00111,6,54.0,2,Aucun
00111,7,0.0,2,Aucun
00111,8,63.0,2,Aucun
00112,1,50.0,1,Secondaire
00112,2,37.0,1,Primaire
00112,3,74.0,1,Primaire
00112,4,2.0,1,Aucun
00112,5,32.0,1,Aucun
00112,6,8.0,2,Secondaire
00112,7,51.0,2,Primaire
00112,8,54.0,2,Aucun
00112,9,52.0,2,Aucun
00112,10,70.0,1,Aucun
00112,11,8.0,1,Primaire
00112,12,34.0,1,Aucun
00112,13,38.0,1,Aucun
00113,1,,1,Primaire
00113,2,8.0,2,Aucun
00113,3,29.0,2,Aucun
00113,4,56.0,1,Secondaire
00113,5,4.0,2,Aucun
00113,6,52.0,2,Primaire
00114,1,52.0,1,Primaire
00114,2,9.0,1,Aucun
00114,3,33.0,1,Aucun
00114,4,67.0,2,Primaire
00114,5,42.0,2,Primaire
00114,6,12.0,1,Primaire
00114,7,10.0,2,Primaire
00114,8,48.0,1,Primaire
00115,1,40.0,2,Secondaire
00115,2,64.0,1,Primaire
00115,3,45.0,1,Secondaire
00115,4,1.0,1,Aucun
00115,5,34.0,1,Aucun
00115,6,73.0,2,Primaire
00116,1,,1,Aucun
00116,2,24.0,2,Aucun
00117,1,44.0,2,Primaire
00117,2,21.0,2,Secondaire
00117,3,37.0,1,Primaire
00117,4,34.0,1,Aucun
00117,5,7.0,2,
00117,6,73.0,1,Aucun
00117,7,57.0,2,Secondaire
00118,1,41.0,2,Aucun
00118,2,18.0,2,Aucun
00118,3,14.0,1,Aucun
00118,4,41.0,2,Secondaire
00118,5,18.0,1,Secondaire
00118,6,36.0,2,Superieur
00118,7,60.0,2,Secondaire
00118,8,47.0,2,Aucun
00118,9,47.0,1,Aucun
00119,1,57.0,1,Primaire
00119,2,66.0,2,Primaire
00119,3,72.0,2,Secondaire
00119,4,14.0,2,Primaire
00119,5,1.0,2,Aucun
00120,1,32.0,1,Aucun
00120,2,7.0,2,Primaire
00120,3,19.0,2,Primaire
00120,4,62.0,1,Secondaire
00120,5,69.0,1,Secondaire
00120,6,20.0,2,Aucun
00121,1,26.0,1,Secondaire
00121,2,71.0,2,Primaire
00121,3,58.0,2,Secondaire
00121,4,,1,Aucun
00121,5,11.0,2,Aucun
00121,6,35.0,1,Secondaire
00121,7,46.0,1,Primaire
00122,1,41.0,1,Aucun
00122,2,19.0,2,Primaire
00122,3,15.0,2,Primaire
00123,1,44.0,1,Aucun
00123,2,74.0,2,Aucun
00123,3,28.0,1,Secondaire
00123,4,40.0,1,Superieur
00123,5,19.0,2,Secondaire
00123,6,35.0,1,Primaire
00124,1,84.0,1,Secondaire
00124,2,59.0,1,Primaire
00124,3,53.0,2,Primaire
00124,4,47.0,1,Primaire
00124,5,60.0,1,Aucun
00124,6,46.0,1,Secondaire
00124,7,27.0,2,Secondaire
00124,8,62.0,1,Primaire
00125,1,27.0,1,Aucun
00125,2,6.0,1,Aucun
00125,3,66.0,2,Aucun
00125,4,39.0,1,Secondaire
00125,5,59.0,1,Primaire
00125,6,62.0,1,Primaire
00125,7,62.0,1,Primaire
00126,1,44.0,2,Aucun
00126,2,39.0,2,Primaire
00126,3,41.0,1,Primaire
00126,4,62.0,1,Aucun
00126,5,43.0,2,
00126,6,71.0,2,Primaire
00126,7,22.0,2,Aucun
00126,8,11.0,2,Primaire
00126,9,3.0,1,Aucun
00126,10,41.0,1,Primaire
00126,11,69.0,2,Primaire
00126,12,69.0,1,Primaire
00126,13,20.0,1,Primaire
00127,1,63.0,1,Aucun
00127,2,10.0,2,Aucun
00127,3,27.0,1,Secondaire
00127,4,52.0,1,Aucun
00127,5,0.0,1,Aucun
00127,6,45.0,1,Aucun
00127,7,36.0,1,Primaire
00127,8,51.0,2,Aucun
00127,9,33.0,2,
00128,1,44.0,1,Primaire
00128,2,9.0,2,Secondaire
00128,3,63.0,2,Primaire
00128,4,20.0,2,Primaire
00128,5,37.0,1,Secondaire
00129,1,36.0,1,Primaire
00129,2,45.0,2,Secondaire
00129,3,,2,Secondaire
00129,4,22.0,1,Aucun
00129,5,47.0,1,Aucun
00129,6,15.0,1,Secondaire
00129,7,69.0,2,Secondaire
00129,8,17.0,2,Aucun
00129,9,30.0,2,Primaire
00129,10,27.0,1,Primaire
00129,11,62.0,2,Secondaire
00130,1,20.0,1,Secondaire
00130,2,12.0,1,Aucun
00130,3,54.0,2,Primaire
00131,1,45.0,1,Aucun
00131,2,61.0,2,
00131,3,9.0,1,Primaire
00132,1,64.0,1,Primaire
00132,2,52.0,2,Primaire
00132,3,44.0,2,Primaire
00132,4,2.0,2,Aucun
00132,5,35.0,2,Primaire
00132,6,73.0,2,Secondaire
00132,7,,2,Primaire
00132,8,50.0,1,Secondaire
00132,9,51.0,1,Secondaire
00132,10,37.0,1,Secondaire
00132,11,19.0,2,Secondaire
00133,1,42.0,1,
00133,2,72.0,2,Aucun
00133,3,18.0,2,Primaire
00133,4,15.0,1,Primaire
00134,1,43.0,1,Aucun
00134,2,11.0,2,Secondaire
00135,1,47.0,1,Aucun
00135,2,0.0,1,Aucun
00135,3,41.0,1,Secondaire
00135,4,65.0,1,Aucun
00135,5,68.0,1,Secondaire
00135,6,32.0,2,Primaire
00135,7,60.0,2,Primaire
00135,8,8.0,1,Aucun
00136,1,47.0,1,Primaire
00136,2,27.0,1,Primaire
00136,3,51.0,1,Primaire
00136,4,42.0,1,Primaire
00136,5,61.0,1,Aucun
00136,6,2.0,1,Aucun
00136,7,51.0,1,Aucun
00137,1,38.0,1,Aucun
00137,2,27.0,2,Aucun
