hhid,region_lib,choc_secheresse,choc_hausse_prix,choc_conflit,choc_maladie,strat_vente_actifs,strat_reduction_repas,strat_migration,strat_endettement
00129,BATHA,0,1,0,0,0,0,0,0
00130,BATHA,1,0,0,0,0,0,0,0
00131,BATHA,1,1,0,0,0,0,1,0
00132,BATHA,1,1,0,0,1,1,0,0
00133,BATHA,1,0,0,0,0,1,1,1
00134,BATHA,1,1,0,1,1,0,1,0
00135,BATHA,0,1,0,0,1,0,1,1
00136,BATHA,0,1,1,0,0,1,0,0
00137,BATHA,0,1,0,1,1,1,0,0
00138,BATHA,0,0,0,0,0,1,0,0
00139,BATHA,1,1,0,0,1,0,0,0
00140,BATHA,1,1,0,1,1,1,0,0
00141,BATHA,0,1,0,0,0,0,1,0
00142,BATHA,0,1,0,0,0,0,0,0
00143,BATHA,0,1,1,0,1,1,0,0
00144,BATHA,0,1,0,0,0,0,0,0
00145,BATHA,1,0,0,0,0,0,0,0
00146,BATHA,1,1,0,0,1,0,0,0
00147,BATHA,1,0,0,0,0,1,0,0
00148,BATHA,1,1,1,0,1,1,1,1
00149,BATHA,1,0,0,0,0,0,0,0
00150,BATHA,0,1,0,1,1,0,0,0
00151,BATHA,0,0,0,0,0,0,0,0
00152,BATHA,1,0,0,0,0,1,0,0
00153,BATHA,1,1,0,0,0,0,0,1
00154,BATHA,0,1,0,1,1,1,0,1
00155,BATHA,1,0,0,0,0,0,0,0
00156,BATHA,1,0,0,0,1,0,0,1
00157,BATHA,1,0,0,0,0,0,0,0
00158,BATHA,0,1,0,0,0,1,1,1
00159,BATHA,1,1,0,1,0,1,0,0
00160,BATHA,1,1,0,0,0,0,0,0
00161,BATHA,0,0,0,0,0,0,0,0
00162,BORKOU,1,0,0,0,0,0,0,0
00163,BORKOU,0,1,0,0,0,0,0,0
00164,BORKOU,0,1,0,0,0,1,0,0
00165,BORKOU,1,0,0,0,0,0,0,0
00166,BORKOU,0,1,0,0,1,1,0,0
00167,BORKOU,0,0,0,0,0,1,1,0
00168,BORKOU,0,0,0,1,0,1,0,1
00169,BORKOU,0,0,1,0,0,1,1,0
00170,BORKOU,1,1,0,1,1,1,0,1
00171,BORKOU,1,1,0,0,0,0,1,0
00172,BORKOU,0,1,0,0,1,0,1,0
00173,BORKOU,0,1,1,0,0,1,0,0
00174,BORKOU,0,1,1,0,1,0,1,0
00175,BORKOU,1,0,1,0,0,0,0,0
00176,BORKOU,0,0,0,1,1,0,0,0
00177,BORKOU,0,1,0,0,0,0,1,0
00178,BORKOU,1,1,0,0,0,0,0,1
00179,BORKOU,0,1,0,0,0,1,0,0
00180,BORKOU,0,1,0,0,0,0,0,0
00181,BORKOU,0,1,0,0,0,0,0,0
00182,BORKOU,0,1,0,0,1,1,0,0
00183,BORKOU,0,1,0,0,0,0,0,0
00184,BORKOU,0,1,0,0,0,0,0,1
00185,BORKOU,0,1,0,0,0,0,0,1
00186,BORKOU,0,1,0,0,0,1,1,1
00187,BORKOU,0,1,0,0,0,0,0,0
00188,BORKOU,0,1,0,0,0,1,0,0
00189,BORKOU,0,1,0,0,1,1,0,0
00190,BORKOU,0,1,0,0,0,1,1,1
00191,BORKOU,0,0,0,0,0,0,0,1
00192,BORKOU,1,1,0,1,0,0,0,0
00193,BORKOU,0,1,1,1,0,1,0,1
00194,BORKOU,0,1,0,0,0,0,0,0
00195,BORKOU,1,0,0,0,1,0,0,0
00196,BORKOU,0,1,0,0,0,0,0,0
00197,BORKOU,0,1,0,0,0,0,0,0
00198,BORKOU,1,0,0,0,1,0,0,0
00199,BORKOU,0,1,0,0,0,1,0,0
00200,BORKOU,0,0,0,0,0,1,0,0
00201,BORKOU,0,1,0,0,0,0,0,0
00202,BORKOU,0,1,0,0,0,0,1,0
00203,BORKOU,0,1,0,0,0,1,0,1
00204,BORKOU,0,0,1,0,0,0,0,0
00205,BORKOU,0,1,0,0,0,0,0,0
00206,BORKOU,1,1,1,0,0,0,0,1
00207,BORKOU,0,1,1,1,1,1,0,0
00208,BORKOU,0,0,1,0,0,0,0,1
00209,BORKOU,0,0,1,1,0,0,1,1
00210,BORKOU,0,0,0,0,0,0,0,0
00211,BORKOU,1,1,0,0,0,0,0,1
00212,BORKOU,1,1,0,0,1,0,0,1
00213,BORKOU,0,1,0,0,0,0,0,0
00214,BORKOU,0,1,1,0,1,1,0,1
00215,BORKOU,1,1,0,0,0,0,0,0
00216,BORKOU,0,1,0,0,0,1,0,1
00217,BORKOU,0,1,0,0,0,0,0,0
00218,BORKOU,1,1,0,0,1,1,1,0
00219,BORKOU,0,1,0,0,0,1,1,0
00220,BORKOU,1,1,0,1,1,1,0,0
00221,BORKOU,0,1,0,0,1,0,0,0
00222,BORKOU,0,0,0,0,0,1,0,1
00223,BORKOU,1,0,1,0,0,0,0,1
00224,BORKOU,0,1,0,0,1,0,0,1
00225,BORKOU,0,1,0,1,1,0,0,0
00226,BORKOU,0,1,0,0,1,0,0,0
00227,BORKOU,0,0,0,1,0,1,0,0
00228,BORKOU,0,1,0,0,0,0,1,1
00229,BORKOU,0,0,1,0,0,1,0,0
00230,BORKOU,0,0,0,1,1,1,1,1
00231,BORKOU,0,0,0,0,0,1,0,0
00232,BORKOU,1,1,0,1,1,0,0,0
00233,BORKOU,0,1,0,0,1,1,0,0
00234,BORKOU,0,0,0,1,1,1,0,1
00235,BORKOU,0,0,1,0,0,1,1,1
00236,BORKOU,0,1,1,0,0,0,0,1
00237,BORKOU,1,1,0,0,0,0,0,1
00238,BORKOU,0,1,0,0,0,0,0,0
00239,BORKOU,1,1,0,0,1,1,0,1
00240,BORKOU,1,1,0,1,0,0,0,0
00241,BORKOU,0,0,0,0,0,0,0,1
00242,BORKOU,0,1,0,0,0,0,0,0
00243,BORKOU,1,1,0,0,1,0,0,0
00244,BORKOU,1,0,0,1,0,0,0,0
00245,BORKOU,1,1,0,0,0,0,0,0
00246,BORKOU,0,1,0,0,1,0,0,0
00247,BORKOU,0,1,1,0,0,0,0,1
00248,BORKOU,0,1,0,0,0,0,0,0
00249,BORKOU,1,1,0,0,1,1,0,1
00250,BORKOU,0,0,0,0,0,0,0,0
00251,BORKOU,0,1,0,0,0,1,1,0
00252,BORKOU,0,0,0,0,1,0,0,1
00253,BORKOU,1,0,0,0,0,0,0,1
00254,BORKOU,1,1,0,0,0,0,0,1
00255,BORKOU,1,1,0,0,0,0,1,0
00256,BORKOU,0,1,0,0,0,0,1,0
00257,BORKOU,0,1,0,1,1,0,1,1
00258,BORKOU,0,0,0,0,0,1,0,0
00259,BORKOU,1,1,0,0,0,1,1,1
00260,BORKOU,1,1,1,1,0,1,1,0
00261,BORKOU,1,1,0,0,0,0,0,0
00262,BORKOU,1,1,1,1,1,0,0,0
00263,BORKOU,1,0,0,0,0,0,0,1
00264,BORKOU,1,1,1,0,1,1,0,1
00265,BORKOU,1,1,0,0,0,1,0,0
00266,BORKOU,0,1,0,0,0,0,0,0
00267,BORKOU,0,0,1,1,1,0,0,1
00268,BORKOU,0,0,0,0,1,0,0,0
00269,BORKOU,1,1,0,0,0,0,0,0
00270,BORKOU,1,0,1,0,1,1,0,0
00271,BORKOU,1,1,0,0,0,0,1,0
00272,BORKOU,1,0,0,1,1,0,0,0
00273,BORKOU,1,1,0,0,0,0,0,0
00274,BORKOU,1,1,1,0,1,1,0,0
00275,BORKOU,1,1,0,0,0,0,0,1
00276,BORKOU,1,0,0,0,0,0,0,0
00277,BORKOU,1,1,1,0,1,0,1,0
00278,BORKOU,1,1,0,0,0,0,0,0
00279,BORKOU,1,1,0,1,1,1,1,0
00280,BORKOU,1,1,0,0,0,0,1,1
00281,BORKOU,1,1,0,0,1,0,0,0
00282,BORKOU,0,0,0,0,0,1,0,0
00283,BORKOU,1,1,0,0,0,0,1,0
00284,BORKOU,0,1,0,0,0,0,0,0
00285,BORKOU,1,0,1,0,0,0,0,0
00286,BORKOU,1,1,0,0,0,1,0,0
00287,BORKOU,0,1,0,0,0,0,1,1
00288,BORKOU,1,1,1,0,0,0,0,0
00289,BORKOU,0,1,0,0,0,1,0,0
00290,BORKOU,1,0,0,0,0,1,0,0
00291,BORKOU,1,1,0,0,0,0,0,0
00292,BORKOU,1,0,0,0,1,0,0,0
00293,BORKOU,1,1,0,0,0,1,0,0
00294,BORKOU,1,1,0,0,0,0,0,1
00295,BORKOU,0,0,0,0,0,0,0,0
00296,BORKOU,1,1,0,0,1,0,0,0
00297,BORKOU,0,1,0,0,0,0,0,0
00298,BORKOU,0,0,0,0,0,0,0,0
00299,BORKOU,0,0,0,0,0,1,0,0
00300,BORKOU,1,0,0,0,0,0,0,0
00301,BORKOU,0,1,0,0,1,0,0,0
00302,BORKOU,1,0,0,0,0,1,0,1
00303,BORKOU,0,1,0,0,0,1,0,0
00304,BORKOU,1,0,0,0,0,0,0,1
00305,BORKOU,1,1,0,0,0,1,1,1
00306,BORKOU,1,0,0,1,0,0,0,0
00307,BORKOU,0,1,1,0,0,0,0,1
00308,BORKOU,0,0,0,1,1,0,0,0
00309,BORKOU,1,1,0,0,0,0,0,1
00310,BORKOU,0,1,0,0,0,0,0,0
00311,BORKOU,1,1,0,0,1,0,0,1
00312,BORKOU,0,1,0,1,1,0,0,0
00313,BORKOU,0,1,0,0,1,0,0,0
00314,BORKOU,0,1,0,0,0,0,0,0
00315,BORKOU,1,0,0,0,0,1,0,1
00316,BORKOU,0,0,0,0,1,0,0,0
00317,BORKOU,1,1,0,1,1,1,1,1
00318,BORKOU,1,0,0,0,0,0,0,0
00319,BORKOU,1,1,0,0,0,0,0,0
00320,BORKOU,1,1,0,0,0,0,0,1
00321,BORKOU,1,1,1,0,0,1,0,1
00322,BORKOU,1,1,0,0,0,0,0,0
00323,BORKOU,1,1,0,0,0,0,0,0
00324,CHARI_BAGUIRMI,1,1,0,1,1,0,0,1
00325,CHARI_BAGUIRMI,0,1,0,0,1,0,0,1
00326,CHARI_BAGUIRMI,0,0,0,0,1,0,0,0
00327,CHARI_BAGUIRMI,0,1,0,0,0,0,0,0
00328,CHARI_BAGUIRMI,0,0,1,0,0,0,0,0
00329,CHARI_BAGUIRMI,0,0,0,0,0,0,0,0
00330,CHARI_BAGUIRMI,0,1,1,0,0,0,1,0
00331,CHARI_BAGUIRMI,0,1,0,0,0,0,0,0
00332,CHARI_BAGUIRMI,0,0,1,1,0,1,0,0
00333,CHARI_BAGUIRMI,0,1,1,0,0,1,1,1
00334,CHARI_BAGUIRMI,0,1,0,1,0,1,0,1
00335,CHARI_BAGUIRMI,1,1,0,0,0,0,1,1
00336,CHARI_BAGUIRMI,0,0,0,0,0,1,0,0
00337,CHARI_BAGUIRMI,0,1,0,0,0,0,0,0
00338,CHARI_BAGUIRMI,1,1,0,0,0,1,0,0
00339,CHARI_BAGUIRMI,0,0,0,1,0,1,0,0
00340,CHARI_BAGUIRMI,0,0,1,0,0,0,0,0
00341,CHARI_BAGUIRMI,0,1,0,0,1,0,1,1
00342,CHARI_BAGUIRMI,0,0,0,0,0,0,0,0
00343,CHARI_BAGUIRMI,1,0,0,1,1,0,0,0
00344,CHARI_BAGUIRMI,0,1,0,1,1,0,0,1
00345,CHARI_BAGUIRMI,0,1,0,0,0,1,0,1
00346,CHARI_BAGUIRMI,0,0,0,0,0,0,0,0
00347,CHARI_BAGUIRMI,0,1,0,1,1,1,0,0
00348,CHARI_BAGUIRMI,1,0,0,0,0,1,0,0
00349,CHARI_BAGUIRMI,0,0,1,1,1,0,0,0
00350,CHARI_BAGUIRMI,0,1,0,0,0,1,0,1
00351,CHARI_BAGUIRMI,1,1,0,0,0,0,0,1
00352,CHARI_BAGUIRMI,0,1,0,0,0,0,0,0
00353,CHARI_BAGUIRMI,0,0,1,0,0,0,0,1
00354,CHARI_BAGUIRMI,0,0,0,0,0,0,0,0
00355,CHARI_BAGUIRMI,0,1,0,0,1,0,1,1
00356,CHARI_BAGUIRMI,0,1,1,1,0,1,0,1
00357,CHARI_BAGUIRMI,0,0,0,0,0,1,0,1
00358,CHARI_BAGUIRMI,1,0,0,0,0,0,1,0
00359,CHARI_BAGUIRMI,0,0,0,0,0,0,0,1
00360,CHARI_BAGUIRMI,0,0,0,0,0,1,0,0
00361,CHARI_BAGUIRMI,1,1,0,0,0,1,1,0
00362,CHARI_BAGUIRMI,0,1,0,0,0,1,0,0
00363,CHARI_BAGUIRMI,0,1,0,0,1,0,0,0
00364,CHARI_BAGUIRMI,0,1,0,0,0,1,0,0
00365,CHARI_BAGUIRMI,0,1,0,0,1,1,0,0
00366,CHARI_BAGUIRMI,0,1,0,0,0,1,0,0
00367,CHARI_BAGUIRMI,0,1,1,0,1,0,0,1
00368,CHARI_BAGUIRMI,0,1,1,0,1,0,0,0
00369,CHARI_BAGUIRMI,1,0,0,0,0,0,0,1
00370,CHARI_BAGUIRMI,0,0,1,0,0,0,0,0
00371,CHARI_BAGUIRMI,0,1,0,1,0,0,0,1
00372,CHARI_BAGUIRMI,0,0,0,1,0,0,0,0
00373,CHARI_BAGUIRMI,1,1,1,0,0,0,1,0
00374,CHARI_BAGUIRMI,1,1,0,0,0,1,0,0
00375,CHARI_BAGUIRMI,0,1,1,1,1,0,0,0
00376,CHARI_BAGUIRMI,0,1,0,0,1,0,0,0
00377,CHARI_BAGUIRMI,1,1,0,1,1,1,1,1
00378,CHARI_BAGUIRMI,0,0,0,0,0,0,0,0
00379,CHARI_BAGUIRMI,0,1,0,0,0,0,0,0
00380,CHARI_BAGUIRMI,1,1,0,0,0,1,0,0
00381,CHARI_BAGUIRMI,0,1,0,0,0,1,0,0
00382,CHARI_BAGUIRMI,0,1,0,0,0,0,0,0
00383,CHARI_BAGUIRMI,0,1,0,0,0,1,0,1
00384,CHARI_BAGUIRMI,1,1,1,0,0,0,1,0
00385,CHARI_BAGUIRMI,1,1,1,1,1,0,0,1
00386,CHARI_BAGUIRMI,1,0,0,1,1,0,0,1
00387,CHARI_BAGUIRMI,0,0,0,1,0,0,0,1
00388,CHARI_BAGUIRMI,0,1,0,0,0,0,0,0
00389,CHARI_BAGUIRMI,1,0,0,0,0,1,0,0
00390,CHARI_BAGUIRMI,1,1,1,1,1,1,0,1
00391,CHARI_BAGUIRMI,0,0,0,0,1,0,0,0
00392,CHARI_BAGUIRMI,0,0,1,0,1,0,0,0
00393,CHARI_BAGUIRMI,0,1,0,0,0,0,0,0
00394,CHARI_BAGUIRMI,1,0,0,1,1,1,0,1
00395,CHARI_BAGUIRMI,0,1,0,0,0,0,1,0
00396,CHARI_BAGUIRMI,1,1,0,0,0,0,0,0
00397,CHARI_BAGUIRMI,0,1,0,0,0,1,0,1
00398,CHARI_BAGUIRMI,0,1,0,0,1,0,0,0
00399,CHARI_BAGUIRMI,0,1,0,1,0,1,1,0
00400,CHARI_BAGUIRMI,0,1,0,1,0,0,0,1
00401,CHARI_BAGUIRMI,0,0,0,0,0,0,0,0
00402,CHARI_BAGUIRMI,0,0,0,1,1,1,0,1
00403,CHARI_BAGUIRMI,0,1,0,0,0,1,0,0
00404,CHARI_BAGUIRMI,1,0,0,0,1,0,0,1
00405,CHARI_BAGUIRMI,0,0,0,0,0,0,0,0
00406,CHARI_BAGUIRMI,0,1,0,0,0,0,0,1
00407,CHARI_BAGUIRMI,1,1,0,1,1,0,0,0
00408,CHARI_BAGUIRMI,1,1,0,1,0,1,0,0
00409,CHARI_BAGUIRMI,0,0,0,1,0,0,0,0
00410,CHARI_BAGUIRMI,0,1,0,0,0,1,0,0
00411,CHARI_BAGUIRMI,0,1,0,0,0,0,0,1
00412,CHARI_BAGUIRMI,0,1,0,0,1,0,0,0
00413,CHARI_BAGUIRMI,1,1,0,0,0,0,0,1
00414,CHARI_BAGUIRMI,1,1,0,0,1,1,0,0
00415,CHARI_BAGUIRMI,0,0,0,0,0,0,0,0
00416,CHARI_BAGUIRMI,1,1,0,0,0,1,0,0
00417,CHARI_BAGUIRMI,0,0,0,0,0,1,0,0
00418,CHARI_BAGUIRMI,0,0,0,0,0,0,0,0
00419,CHARI_BAGUIRMI,1,1,0,0,0,1,0,0
00420,CHARI_BAGUIRMI,0,1,0,1,0,1,0,0
00421,CHARI_BAGUIRMI,1,1,0,0,0,0,0,1
00422,CHARI_BAGUIRMI,1,1,0,1,0,0,0,0
00423,CHARI_BAGUIRMI,0,1,0,0,0,0,0,0
00424,CHARI_BAGUIRMI,0,0,0,1,1,0,0,0
00425,CHARI_BAGUIRMI,0,0,0,1,1,1,0,0
00426,CHARI_BAGUIRMI,0,0,1,1,0,0,0,0
00427,CHARI_BAGUIRMI,1,1,0,0,0,0,0,1
00428,CHARI_BAGUIRMI,0,1,0,1,1,0,0,0
00429,CHARI_BAGUIRMI,0,1,0,0,0,0,0,0
00430,CHARI_BAGUIRMI,0,0,0,1,0,0,0,0
00431,CHARI_BAGUIRMI,0,0,0,0,0,1,0,0
00432,CHARI_BAGUIRMI,1,0,0,0,0,0,1,1
00433,CHARI_BAGUIRMI,0,1,0,0,1,1,0,0
00434,CHARI_BAGUIRMI,0,1,1,0,1,0,1,0
00435,CHARI_BAGUIRMI,1,1,0,0,0,1,0,0
00436,CHARI_BAGUIRMI,0,0,0,1,0,1,0,0
00437,CHARI_BAGUIRMI,0,1,0,0,0,1,0,0
00438,CHARI_BAGUIRMI,0,1,0,0,1,0,0,0
00439,CHARI_BAGUIRMI,0,0,0,1,0,1,1,0
00440,CHARI_BAGUIRMI,0,1,0,0,0,0,0,1
00441,CHARI_BAGUIRMI,0,1,0,0,0,1,0,0
00442,CHARI_BAGUIRMI,0,1,0,0,0,0,0,0
00443,CHARI_BAGUIRMI,1,1,0,0,1,0,1,0
00444,CHARI_BAGUIRMI,1,1,1,0,1,0,0,0
00445,CHARI_BAGUIRMI,1,1,0,1,1,0,0,1
00446,CHARI_BAGUIRMI,1,1,0,0,0,1,1,1
00447,CHARI_BAGUIRMI,0,0,0,0,1,0,0,1
00448,CHARI_BAGUIRMI,0,1,0,0,1,0,0,1
00449,CHARI_BAGUIRMI,0,1,0,0,1,0,0,0
00450,CHARI_BAGUIRMI,0,1,0,1,1,1,0,0
00451,CHARI_BAGUIRMI,1,0,0,0,0,0,0,0
00452,CHARI_BAGUIRMI,1,1,0,0,1,0,0,0
00453,CHARI_BAGUIRMI,1,1,0,0,0,0,0,0
00454,CHARI_BAGUIRMI,1,0,0,1,1,0,0,0
00455,CHARI_BAGUIRMI,0,1,0,0,0,0,0,0
00456,CHARI_BAGUIRMI,1,1,0,0,0,0,0,0
00457,CHARI_BAGUIRMI,0,0,0,1,0,0,0,0
00458,CHARI_BAGUIRMI,1,1,1,0,1,0,0,1
00459,CHARI_BAGUIRMI,0,1,0,0,0,0,0,0
00460,CHARI_BAGUIRMI,0,0,0,1,0,1,0,0
00461,CHARI_BAGUIRMI,0,1,0,0,0,0,1,0
00462,CHARI_BAGUIRMI,1,1,0,0,0,0,0,1
00463,CHARI_BAGUIRMI,1,1,0,1,0,1,0,1
00464,CHARI_BAGUIRMI,1,1,0,0,0,0,0,0
00465,CHARI_BAGUIRMI,1,1,0,1,1,1,0,0
00466,CHARI_BAGUIRMI,0,0,0,0,0,0,0,1
00467,CHARI_BAGUIRMI,0,1,0,0,0,0,0,0
00468,CHARI_BAGUIRMI,1,1,0,0,0,0,0,1
00469,CHARI_BAGUIRMI,0,0,0,1,0,0,0,0
00470,CHARI_BAGUIRMI,0,1,0,0,0,0,0,0
00471,CHARI_BAGUIRMI,0,0,0,1,1,0,0,1
00472,CHARI_BAGUIRMI,1,1,0,1,0,1,1,0
00473,CHARI_BAGUIRMI,1,1,0,0,0,1,0,0
00474,CHARI_BAGUIRMI,0,1,1,0,0,0,1,1
00475,CHARI_BAGUIRMI,0,1,0,0,0,0,0,0
00476,CHARI_BAGUIRMI,0,0,0,0,0,1,0,1
00477,CHARI_BAGUIRMI,0,0,0,0,0,0,0,1
00478,CHARI_BAGUIRMI,0,1,0,0,0,0,0,1
00479,CHARI_BAGUIRMI,0,1,0,0,0,0,0,1
00480,CHARI_BAGUIRMI,0,1,0,0,1,1,0,0
00481,CHARI_BAGUIRMI,0,0,0,0,1,0,0,0
00482,CHARI_BAGUIRMI,0,0,0,0,0,1,0,0
00483,CHARI_BAGUIRMI,0,1,0,0,0,1,0,1
00484,CHARI_BAGUIRMI,1,1,0,0,1,1,0,0
00485,CHARI_BAGUIRMI,1,1,0,0,0,1,1,1
00486,ENNEDI_EST,0,1,0,0,0,0,0,0
00487,ENNEDI_EST,0,1,0,0,0,1,0,1
00488,ENNEDI_EST,0,0,0,0,0,0,0,0
00489,ENNEDI_EST,1,0,0,0,1,1,0,1
00490,ENNEDI_EST,1,1,0,1,1,0,0,1
00491,ENNEDI_EST,0,1,0,0,1,1,0,1
00492,ENNEDI_EST,1,1,1,1,1,0,0,1
00493,ENNEDI_EST,0,0,0,0,0,0,0,0
00494,ENNEDI_EST,0,1,1,0,1,1,1,0
00495,ENNEDI_EST,0,1,1,1,0,0,0,0
00496,ENNEDI_EST,1,0,0,1,0,0,0,0
00497,ENNEDI_EST,0,1,0,0,0,1,0,0
00498,ENNEDI_EST,1,1,0,0,0,0,0,1
00499,ENNEDI_EST,0,1,0,0,0,0,1,0
00500,ENNEDI_EST,0,0,0,1,0,1,0,0
00501,ENNEDI_EST,0,0,0,0,0,0,0,0
00502,ENNEDI_EST,0,1,0,1,0,0,1,0
00503,ENNEDI_EST,0,1,0,1,0,1,0,1
00504,ENNEDI_EST,0,1,0,0,0,0,1,0
00505,ENNEDI_EST,0,0,0,1,0,1,0,0
